Unit	Page	Verses	Attributions	Biblical	Comment
450	43v	Rom.8.24	ν  	τῆι γὰρ ἐλπίδι ἐσώθημεν ἐλπὶς δὲ βλεπομένη οὐκ ἐστιν ἐλπὶς ὁ γὰρ βλέπει τις τι καὶ ἐλπίζει 	ὡς εἰ ἔλεγεν πάντα λαβόντες παρὰ θεοῦ ἡμεῖς πίστιν αὐτω προσηγάγομεν ἧς μέγα μέρος ἡ τῶν ἐκεῖσε ἐλπὶς μὴ τοιγαροῦν ζητεῖ πάντα σοι ἐνταῦθα παρεῖναι τὰ ἀγαθὰ ἀλλά τινα καὶ τῆ ἐλπίδι ταμίευσαι εἰ δὲ πάντα παρεῖναι θέλεις οὐκέτι ἐλπίζεις ἐλπὶς γὰρ βλεπωμενη οὐκ ἐστιν ἐλπίς 
451	44r	Rom.8.25	να  	εἰ δὲ ὁ οὐ βλέπομεν ἐλπίζομεν δι' ὑπομονῆς απεκδοχημεθα 	εἰ δέ φησι τὰ μὴ ὁρώμενα ἐλπίζομεν ἐν ὑπομονῆι ἕξομεν τὴν τούτων προσδοκίαν ἡ δὲ ὑπομονὴ ὅτι μέρος μέγιστον ἀρετῆς παντί που δῆλον ώστε ἡ ἐλπὶς καὶ πίστεὼς ἐστι καὶ ὑπομονῆς ποιητικηι 
451ex	44r	Rom.8.25	Οικου(μενιου) *  		ὡσαύτως δὲ καὶ τὸ πνεῦμα φροντίσει σου εἰ δὲ ἀμελεῖς ἀμεληθήσῃ 
452	44r	Rom.8.26	νβ  	ωσαύτος δὲ καὶ τὸ πνεῦμα συναντιλαμβάνεται ταῖς ἀσθενείαις ἡμῶν 	καὶ μὴ νόμιζέ φησιν κάμνειν ὑπομένων οὐ γὰρ εασεισε τὸ πνεῦμα κάμνειν ἂλλ ἀντιλήψεται σου πρὸς τοῦτο ἀσθενεῖς γὰρ ἐσμεν καὶ οὐδε ὑπομονὴν κατορθῶσαι ἰσχύομεν δίχα τῆς τοῦ πνεύματος βοηθείας 
453	44r	Rom.8.26	νγ  	τὸ γάρ τι προσευξόμεθα 	καί τι λέγω φησι ὅτι πρὸς κατόρθωσιν ὑπομονῆς δεόμεθα ἀντιλήψεως παρὰ τοῦ ἁγίου πνεύματος καὶ ἐν τοῖς δοκοῦσι φησι εὐχερέσιν οἷον ἐν τῆι εὐχὴ ἐστιν γὰρ ὅτε ἀσύμφορα αἰτοῦμεν 
454	44r	Rom.8.26	νδ  	καθὸ δεῖ οὐκ οἴδαμεν 	καὶ ἑαυτὸν ἔμιξεν ἵνα μὴ εὑρέθη ἐπαχθής 
455	44r	Rom.8.26	νε  	ἂλλ αὐτο τὸ πνεῦμα ὑπερεντυγχάνει ὑπὲρ ἡμῶν στεναγμοῖς ἀλαλήτοις 	τὸ παλαιὸν χαρίσματα διαφορὰ πολλοὶ ἐλάμβανον προφητειῶν ἑρμηνειῶν γλωσσῶν ἅπερ πάντα πνεύματα ἐκάλουν καὶ εὐχῆς δὲ χάρισμα ἐλάμβανον τινες ἐπειδὴ γὰρ ἀγνοοῦν τὸ πλῆθος τὸ συμφέρον ἤιτει πολλάκις ἀσύμφορα ἐλάμβανον τινες χάρισμα εὐχῆς καὶ ὑπὲρ παντὸς τοῦ λαοῦ ηὔχοντο ὅπερ καὶ αὐτο πνεῦμα ἐλέγετο τοῦτο οὖν λέγει ὅτι καὶ αὕτη ἡ χάρις τῆς εὐχῆς ὑπὲρ ἡμῶν τῶι θεῶι ἐντυγχάνει μεγίστοις στεναγμοῖς τοῦτο δὲ εἶπεν συστῆσαι βουλόμενος ὅτι ἀγνοοῦμεν καθὸ δεῖ προσεύξασθαι εἰ γὰρ μὴ τοῦτό φησι ἦν τις χρεία λαβεῖν τινας χάρισμα εἰς τὸ εὔχεσθαι ὑπὲρ τοῦ λαοῦ 
455ex	44r	Rom.8.26	Οικου(μενιου)  s 	ἂλλ αὐτο τὸ πνεῦμα ὑπὲρ ἐν τυγχάνει ὑπὲρ ἡμῶν στεναγμοῖς ἀλαλήτοις 	τοῦτό νυν ὁ διάκονος πληροῖ λιτανεύων 
455Ph	44r	Rom.8.26	Φωτ(ιου) *  		ὑπὲρ ἐντυγχάνει Οὐκ εἶπεν ἐντυγχάνει ἀλλ' ὑπερεντυγχάνει τὴν σύντονον καὶ κατἐσπουδασμένην δηλῶν ἔντευξιν καὶ ὅτι καὶ ἀνύσει ὑπὲρ ὧν ὑπερεντυγχάνει 
456	44r	Rom.8.27	νε *  	ὁ δὲ ἐρευνῶν τὰς καρδίας οἶδε τι τὸ φρόνημα 	αὐτος ὁ παράκλητος ὁ τὰς καρδίας τῶν πνευματικῶν ἀνθρώπων ἐρευνῶν τῶν τὴν χάριν δηλάδη καὶ τὸ πνεῦμα τοῦ εὔχεσθαι λαβόντων 
457	44r	Rom.8.27	νϛ  	τοῦ πνεύματος 	τῶν πνευματικῶν ἀνθρώπων τῶν τὸ εἰρημένον τῆς εὐχῆς λαβόντων πνεῦμα καὶ χάρισμα 
458	44r	Rom.8.27	νζ  	ὅτι κατὰ θεὸν ἐντυγχάνει 	οὐκ αγνουντα φησι διδάσκουσιν οἱ πνευματικοὶ τὸν θεὸν ἂλλ οἶδεν ὁ παράκλητος ὅτι κατὰ θεὸν ἐντυγχάνει οὐ κατά τινα βλαβερὰν ἐπιθυμίαν ἀλλὰ κατὰ θεὸν ὃ ἐστι κατὰ τὴν βούλησιν τοῦ θεοῦ 
459	44r	Rom.8.27	νη  	ὑπὲρ ἁγίων 	τῶν διὰ τῆς εὐχῆς ἁγιαζομένων 
459Ph	44r	Rom.8.27	Φωτ(ιου) *  		ὑπὲρ ἁγίων ἢ ὅτι ὑπὲρ καθαρῶν καὶ θεαρέστων ἔργων τὰς αἰτήσεις ποιεῖται ἢ ὑπὲρ ἀνθρώπων τὸν ἁγιασμὸν ἐπιποθούντων 
460	44r	Rom.8.28	νθ  	οἴδαμεν δὲ ὅτι τοῖς ἀγαπῶσι τὸν θεόν 	οὕτω φησι διὰ τὴν ἐν τῶι εὔξασθαι ἄγνοιαν βοηθούμεθα ὑπο τοῦ πνεύματος ὅτι καὶ τὰ κακὰ εἰς ἀγαθὰ ἡμῖν περιτρέπει 
461	44v	Rom.8.28	ξ  	πάντα συνεργεῖ εἰς ἀγαθον 	πάντα φησι καὶ τὰ κακὰ καὶ γὰρ ταῦτα περιστρέφει ὁ θεὸς εἰς ἀγαθον εἰς γὰρ εὐδοκίμησιν τῶν πασχόντων περιστρέφεται μεῖζον δὲ τὸ εἰς ἀγαθον περιστρέφεσθαι τοῦ μὴ παντελῶς ἐπελθεῖν 
462	44v	Rom.8.28	ξα  	τοῖς κατὰ πρόθεσιν κλητοῖς οὖσιν 	ἐπειδὴ ἀπίθανον είναι ἐδοκει τὸ περιστρέφεσθαι τὰ κακὰ εἰς ἀγαθὰ προσθεὶς τὴν τοῦ θεοῦ κλῆσιν ἐπιστώσατο τὸ εἰρημένεον οὐ γὰρ τοῖς τυχοῦσι φησι τοῦτο συμβαίνει ἀλλὰ τοῖς ὑπο θεοῦ κληθεῖσιν εἶτα μὴ νομισθῇ μονομερῶς ὁ θεὸς ἐνίους καλέσας φησι τοῖς κατὰ πρόθεσιν δεικνὺς ὅτι πάντες μὲν ἐκλήθημεν ἐκεῖνοι δὲ ὑπήκουσαν διὸ καὶ βοηθοῦνται οἱ κατὰ οἰκείαν πρόθεσιν γενόμενοι κλητοί 
462ex	44v	Rom.8.28	 s * 	τοῖς κατὰ πρόθεσιν κλητοῖς οὖσιν 	τοῖς κατὰ γνώμην κατὰ προαίρεσιν αξοωθεισι τῆς κλήσεως 
463	44v	Rom.8.29	ξβ  	ὅτι οὓς προέγνω 	ἀπὸ κοινοῦ κατὰ πρόθεσιν κλητοὺς ὄντας 
464	44v	Rom.8.29	ξγ  	καὶ προώρισε συμμόρφους τῆς εἰκόνος τοῦ υἱοῦ αὐτοῦ εἰς τὸ είναι αὐτον πρωτότοκον 	ὅπερ ἐστι φησιν ὁ υἱος τοῦ θεοῦ κατὰ φύσιν ἐν τῆι ἐνανθρωπήσει δῆλον δὲ ὡς ἅγιος καὶ ἀναμάρτητος τοῦτο καὶ αὐτοὶ γεγόνασι κατὰ χάριν συμμόρφους γὰρ τοὺς ἰσομόρφους εἰκονα δὲ τοῦ υἱοῦ τὴν οἰκονομίαν καλεῖ καὶ τὸ ἐντεῦθεν αὐτοῦ σῶμα κατὰ γὰρ τὴν οἰκονομίαν σύμμορφοι καὶ ἀδελφοὶ αὐτοῦ οἱ ἄνθρωποι κατὰ δὲ τὴν θεότητα μονογενὴς ἐστιν 
464ex	44v	Rom.8.29	Κυ(ριλλου)  s 	καὶ προώρισε συμμόρφους τῆς εἰκόνος τοῦ υἱοῦ αὐτοῦ εἰς τὸ είναι αὐτον πρωτότοκον 	εἰκὼν τοῦ θεοῦ τις ἂν νοοῖτο σαφηνιεῖ λέγων αὐτὸς Ὥσπερ γὰρ ἐφορέσαμεν τὴν εἰκονα τοῦ χοϊκοῦ φορέσομεν καὶ τὴν εἰκονα τοῦ ἐπουρανίου τουτέστι τὴν ἐν ἁγιασμῷ ζωὴν τὴν πρὸς πᾶν οτιουν ἀμώμητον πολιτείαν ὥσπερ γὰρ εἰκονα τοῦ χοικοῦ τουτέστιν Ἀδὰμ τὴν ἐν παρακοῇ τε καὶ ἁμαρτίαις ζωὴν εἶναὶ φαμὲν οὕτω καὶ εἰκονα τοῦ ἐπουρανίου τουτέστι Χριστοῦ τὸν ἁγιασμὸν καὶ τὴν δικαίοσυνην τὴν ὑπακοήν 
465	44v	Rom.8.29	ξδ  	ἐν πολλοῖς ἀδελφοῖς 	διὰ πάντων τὴν συγγένειαν ἡμῶν τὴν πρὸς τὸν Χριστὸν σημᾶναι θέλει συγγένειαν δὲ τὴν ἐν τῆι οἰκονομία τῆς σαρκὸς αὐτοῦ 
466	44v	Rom.8.30	ξε  	οὓς δὲ προώρισε 	πανταχοῦ τὸ κατὰ πρόθεσιν κλητοὺς ὄντας συνυπάκουε ἐπεὶ ἄτοπον ἅπαντα εἰ ὁ θεός τινας μὲν ευεποιησε τινας δὲ οὐ τὸ δὲ κατὰ πρόθεσιν συνυπακούομενον αὐτῶν ποιεῖ τὸ κατόρθωμα καὶ προσωποληψίας ἀπαλλάττει τὸν θεόν 
467	44v	Rom.8.30	ξϛ  	τούτους καὶ ἐκάλεσε καὶ οὓς ἐκάλεσε τούτους καὶ ἐδικαίωσεν οὓς δὲ ἐδικαίωσε 	διὰ τῆς τοῦ λουτροῦ παλιγγενεσίας 
468	44v	Rom.8.30	ξζ  	τούτους καὶ ἐδοξασε 	διὰ τῶν χαρισμάτων διὰ τῆς υἱοθεσίας 
468Ph	44v	Rom.8.30	Φωτ(ιου) *  		τοῖς κατὰ πρόθεσιν τοῖς κατὰ γνώμην κατὰ προαίρεσιν αξοωθεισι τῆς κλήσεως 
469	45r	Rom.8.31	ξη  	τι οὖν ἐροῦμεν πρὸς ταῦτα 	ὡς εἰ ἔλεγεν τούτων οὕτως ὄντων μηδεὶς λοιπὸν περὶ τῶν ὧδε πειρασμῶν ἡ κινδύνων λογοποιεσθω τι γὰρ ἑνὶ εἰπεῖν πρὸς τὴν τοσαύτην ἀγαθότητα τοῦ θεοῦ 
469Ph	45r	Rom.8.31	Φωτ(ιου) *  		Τὶ οὖν ἐροῦμεν πρὸς ποῖα ὅτι προώρισεν ὅτι ἐκάλεσεν ὅτι ἐδικαίωσεν ὅτι ἐδοξασεν πρὸς τοσαύτην ἀφθονίαν εὐεργεσιῶν τὶ ἐροῦμεν οὐδὲ εὐχαρίστων φησὶ λόγων ευποροῦμεν μὴ τί γε ἔργων ἀμοιβὴν τοσαύτη ἐστὶν ἄφατος αὐτοῦ ἡ περὶ ἡμᾶς χάρις εἶτα ὥσπερ πόρισμα λαβὼν ἐντεῦθέν φησιν εἰ ὁ θεὸς ὑπὲρ ἡμῶν τὶς καθ' ἡμῶν οὐδεὶς κἂν γάρ τινες βλάπτειν ἐπιχειρήσωσιν οὐ βλάψουσιν ἀλλ' ὠφελήσουσιν πόθεν δὲ δῆλον ὅτι ὑπὲρ ἡμῶν ὁ θεὸς ἔκ τε τῶν προειρημένων καὶ τὸ μέγιστον καὶ πᾶσαν ἐκπλῆττον διάνοιαν ὅτι ὑπὲρ ἡμῶν τοῦ ἰδίου υἱοῦ οὐκ ἐφείσατο εἰ οὖν ὁ θεὸς ὑπὲρ ἡμῶν δηλονότι πάντα εἰς συμφέρον μεταστήσει καὶ τὰ δοκοῦντα λυπηρὰ χαρᾶς πρόξενα παρασκευάσει ὥσπερ καπι τῶν ἀποστολων αὐτῶν καὶ μαρτύρων τὰς θλίψεις καὶ τοὺς διωγμοὺς καὶ τοὺς θανάτους ὑποθεσιν βραβείων καὶ στεφάνων ἐποιήσατο καὶ πρόξενα τῆς βασιλείας τῶν οὐρανῶν οὕτως οὖν ἂν ἡμεῖς μόνον μὴ ἐκλυθῶμεν οὐδεὶς ἰσχύει καθ' ἡμῶν τέθεικε δὲ τὸ ὅς γε τοῦ ἰδίου υἱοῦ οὐκ ἐφείσατο καὶ ἑξῆς τήν τε κηδεμονίαν τὴν ἄφατον ὡς ἔφημεν τοῦ θεοῦ περὶ ἡμᾶς ἐνδεικνύμενος καὶ ἅμα εἴ τι δυσχερὲς ὑπο τινων πάσχομεν ὑπομένειν καὶ καρτερεῖν διὰ τοῦ παραδείγματος παραινῶν οὐ μόνον δὲ ἀλλὰ καὶ ἀνακτώμενος καὶ παρηγορῶν εἰ γὰρ ὁ υἱὸς ὑπὲρ σοῦ τοσαῦτα ἔπαθεν τί σε χρὴ παθεῖν ὑπὲρ αὐτοῦ καὶ εἰ ἐκεῖνος τοσαῦτα παθὼν τῆς πατρικῆς δόξης καὶ θεότητος οὐθέν τι καθυφειμένον ἐδέξατο μηδὲ σὺ ὀλιγωρήσῃς πάσχων ταῦτα πάντως γὰρ τῶν ἐπηγγελμένων καὶ μετὰ τὰ πάθη καὶ μετὰ τὸν θάνατον ἀξιωθήσῃ τὸ δὲ πῶς οὐχὶ καὶ σὺν αὐτῷ χαρίσεται τὸ ἀπροφάσιστον καὶ ἀπαραίτητον θέλων παραστῆσαι τῆς δωρεᾶς σὺν αὐτῷ τὰ πάντα ἡμῖν χαρίσεται φησὶν ἐρεῖς φησὶν ὅτι μή ποτε ἡμῶν ἐπιλήσεται οὐκοῦν καὶ τοῦ υἱοῦ σὺν αὐτῷ γὰρ τὰ πάντα ἡμῖν χαρίζεται ὥστε πάντως καὶ ἀπροφασίστως τευξόμεθα ὧν ἐπηγγέλμεθα εἰπὼν δὲ τοὺς πειρασμοὺς τοὺς διὰ θλίψεων καὶ βασάνων ἐν τῷ εἰπεῖν τὶς καθ' ἡμῶν νῦν ἕτερον εἶδος πειρασμῶν λέγει τοὺς ὀνειδισμοὺς τὰς μέμψεις τὰς λοιδορίας τὰς διαβολὰς ἃς κατέχεον οἱ ἄπιστοι τῶν πιστῶν καὶ τοῦτο δηλοῖ διὰ τοῦ λέγειν τὶς ἐγκαλέσει κατὰ ἐκλεκτῶν θεοῦ καὶ ἀποδείκνυσι κἀνταῦθα ὥσπερ καὶ ἐπὶ τῶν προειρημένων ὅτι θεοῦ δικαιοῦντος εἰς μάτην γλωσσαλγοῦσιν οἱ αἰτιώμενοι καὶ κατακρίνοντες 
